Suburb,Postcode,Crimes_Against_Person,Prop_Deception_Off,Drug_Off,PublicOrder_Security_Off,JusticeProc_Off,Other,Total
Carlton,3053,251,1490,61,84,77,1,1964
Carlton North,3054,43,369,3,5,21,2,443
Docklands,3008,391,1574,292,294,188,8,2747
East Melbourne,3002,118,531,82,176,52,4,963
Flemington,3031,149,643,201,66,103,1,1163
"Kensington	",3031,132,552,38,43,159,0,924
North Melbourne,3051,239,935,80,91,111,2,1458
Melbourne,3000,2409,3659,145,1980,1670,55,9918
Parkville,3052,154,489,15,46,51,0,755
Tullamarine,3043,173,961,66,39,108,0,1347
Port Melbourne,3207,229,1381,146,63,173,6,1998
Southbank,3006,594,2678,348,348,168,30,4166
South Wharf,3006,33,367,7,30,35,0,472
South Yarra,3141,314,2254,202,126,163,9,3068
West Melbourne,3003,141,669,163,133,66,3,1175
Albert Park,3206,51,505,11,15,45,0,627
Balaclava,3183,73,451,38,63,48,3,676
Elwood,3184,121,540,36,18,194,0,909
Middle Park,3206,22,235,7,8,16,0,288
Ripponlea,3185,20,63,6,2,27,0,118
St Kilda,3182,594,2748,487,377,443,13,4662
St Kilda East,3183,106,462,23,31,48,1,671
St Kilda West,3182,30,185,30,9,33,1,288
South Melbourne,3205,275,1642,172,116,316,11,2532
Abbotsford,3067,183,1130,202,111,86,3,1715
Alphington,3078,30,234,3,4,17,0,288
Burnley,3121,10,77,50,10,16,0,163
Westmeadows,3049,86,289,53,18,61,0,507
Clifton Hill,3068,48,381,24,26,21,2,502
Collingwood,3066,283,1698,123,117,208,4,2433
Cremorne,3121,43,275,6,49,9,0,382
Fairfield,3078,62,377,16,6,54,1,516
Fitzroy,3065,388,1845,97,131,138,2,2601
Fitzroy North,3068,110,931,25,48,42,2,1158
Princes Hill ,3054,24,142,2,1,11,0,180
Richmond,3121,520,2530,552,365,310,14,4291
Cocoroc,3030,0,8,1,1,0,0,10
Briar Hill,3088,17,71,7,10,41,0,146
Bundoora,3083,299,1595,128,61,203,3,2289
Eaglemont,3084,12,107,1,2,8,0,130
Eltham,3095,150,663,99,54,197,2,1165
Eltham North,3095,28,151,39,7,15,0,240
Greensborough,3088,174,923,89,68,146,1,1401
Heidelberg,3084,183,520,109,94,1339,2,2247
Heidelberg Heights,3081,86,360,56,32,123,0,657
Heidelberg West,3081,204,581,155,71,156,6,1173
Ivanhoe,3079,83,853,36,23,46,2,1043
Ivanhoe East ,3079,5,87,3,0,14,0,109
Lower Plenty,3093,26,128,16,8,22,0,200
Macleod,3085,44,280,11,14,80,0,429
Montmorency,3094,49,153,17,17,25,0,261
Rosanna,3084,64,227,33,15,45,1,385
St Helena,3088,9,92,15,9,13,0,138
Viewbank,3084,30,86,10,18,33,1,178
Watsonia,3087,75,454,36,31,73,1,670
Watsonia North,3087,20,40,2,0,27,0,89
Yallambie,3085,17,160,6,3,25,1,212
Alphington,3078,30,234,3,4,17,0,288
Bundoora,3083,299,1595,128,61,203,3,2289
Coburg,3058,398,2487,208,178,404,7,3682
Coburg North,3058,98,649,62,54,201,3,1067
Fairfield,3078,62,377,16,6,54,1,516
Kingsbury,3083,38,274,22,15,37,0,386
Macleod,3085,44,280,11,14,80,0,429
Northcote,3070,187,1410,69,70,101,11,1848
Preston,3072,593,3761,268,232,512,8,5374
Reservoir,3073,637,3091,263,193,640,2,4826
Thornbury,3071,155,1104,44,63,121,2,1489
Attwood,3049,27,57,6,9,10,1,110
Broadmeadows,3047,601,1718,313,214,1262,6,4114
Campbellfield,3061,174,1064,81,47,115,9,1490
Coolaroo,3048,91,536,29,33,68,1,758
Craigieburn,3064,809,2129,170,121,742,4,3975
Dallas,3047,91,233,40,35,110,0,509
Gladstone Park,3043,132,406,47,34,112,1,732
Greenvale,3059,150,444,60,25,60,1,740
Jacana,3047,51,154,30,17,75,0,327
Keilor,3036,70,236,14,13,68,0,401
Meadow Heights,3048,296,486,79,72,254,2,1189
Melbourne Airport,3045,23,424,70,36,17,2,572
Roxburgh Park,3064,256,625,83,77,195,0,1236
Somerton,3062,29,190,17,12,15,0,263
Bulla,3428,12,62,10,13,12,0,109
Wildwood,3429,1,15,0,1,1,1,19
Yuroke,3063,4,8,0,2,6,0,20
Brunswick,3056,297,2159,145,146,231,5,2983
Fawkner,3060,234,577,69,65,303,2,1250
Hurstbridge,3099,27,76,8,6,22,0,139
Plenty,3090,10,42,4,0,3,0,59
Christmas Hills,3775,7,11,0,0,0,0,18
Epping,3076,618,2318,229,159,463,6,3793
Lalor,3075,339,812,138,95,219,3,1606
Beveridge,3753,44,141,10,17,60,1,273
